Date;Open;High;Low;Close;Adj Close;Volume;;Date;sentiment_polarity;sentiment_neg;sentiment_neu;sentiment_pos;news_count
15.05.2023;173.1600037;173.2100067;171.4700012;172.0700073;171.3931732;37266700;;9.10.2022;0.020636364;0.068;0.872;0.06;11
16.05.2023;171.9900055;173.1399994;171.8000031;172.0700073;171.3931732;42110300;;10.10.2022;0.149642857;0.057214286;0.869464286;0.073285714;28
17.05.2023;171.7100067;172.9299927;170.4199982;172.6900024;172.0107269;57951600;;11.10.2022;0.498416667;0.041416667;0.846458333;0.112166667;24
18.05.2023;173;175.2400055;172.5800018;175.0500031;174.3614502;65496700;;12.10.2022;0.602321429;0.022571429;0.891285714;0.086035714;28
19.05.2023;176.3899994;176.3899994;174.9400024;175.1600037;174.4710083;55772400;;13.10.2022;0.506310345;0.037931034;0.881586207;0.080551724;29
22.05.2023;173.9799957;174.7100067;173.4499969;174.1999969;173.5147858;43570900;;14.10.2022;0.604466667;0.0176;0.878666667;0.103733333;15
23.05.2023;173.1300049;173.3800049;171.2799988;171.5599976;170.8851624;50747300;;15.10.2022;0.304;0.038375;0.889625;0.072;8
24.05.2023;171.0899963;172.4199982;170.5200043;171.8399963;171.1640625;45143500;;16.10.2022;0.483285714;0.033714286;0.858285714;0.108;7
25.05.2023;172.4100037;173.8999939;171.6900024;172.9900055;172.3095551;56058300;;17.10.2022;0.57505;0.02595;0.86435;0.10975;20
26.05.2023;173.3200073;175.7700043;173.1100006;175.4299927;174.7399292;54835000;;18.10.2022;0.550735294;0.023970588;0.883970588;0.092;34
30.05.2023;176.9600067;178.9900055;176.5700073;177.3000031;176.6025848;55964400;;19.10.2022;0.661947368;0.046526316;0.850947368;0.102631579;19
31.05.2023;177.3300018;179.3500061;176.7599945;177.25;176.5527802;99625300;;20.10.2022;0.457666667;0.053166667;0.834833333;0.111666667;12
1.06.2023;177.6999969;180.1199951;176.9299927;180.0899963;179.3816071;68901800;;21.10.2022;0.408717949;0.036025641;0.865794872;0.098205128;39
2.06.2023;181.0299988;181.7799988;179.2599945;180.9499969;180.2382202;61945900;;22.10.2022;0.873666667;0.026;0.876333333;0.097666667;3
5.06.2023;182.6300049;184.9499969;178.0399933;179.5800018;178.8736267;121946500;;23.10.2022;0.560714286;0.004857143;0.885571429;0.109571429;7
6.06.2023;179.9700012;180.1199951;177.4299927;179.2100067;178.5050812;64848400;;24.10.2022;0.510625;0.03646875;0.88290625;0.0805;32
7.06.2023;178.4400024;181.2100067;177.3200073;177.8200073;177.1205444;61944600;;25.10.2022;0.429282051;0.038717949;0.87325641;0.087923077;39
8.06.2023;177.8999939;180.8399963;177.4600067;180.5700073;179.8597412;50214900;;26.10.2022;0.364392857;0.044714286;0.86375;0.091535714;28
9.06.2023;181.5;182.2299957;180.6300049;180.9600067;180.2481842;48870700;;27.10.2022;0.546146341;0.037658537;0.869439024;0.092902439;41
12.06.2023;181.2700043;183.8899994;180.9700012;183.7899933;183.0670624;54274900;;28.10.2022;0.421227273;0.050181818;0.854227273;0.095621212;66
13.06.2023;182.8000031;184.1499939;182.4400024;183.3099976;182.5889435;54929100;;29.10.2022;0.3735;0.068;0.832;0.1005;6
14.06.2023;183.3699951;184.3899994;182.0200043;183.9499969;183.2264252;57462900;;30.10.2022;0.286166667;0.0705;0.811833333;0.1175;6
15.06.2023;183.9600067;186.5200043;183.7799988;186.0099945;185.2783356;65433200;;31.10.2022;0.35938;0.04552;0.8709;0.08372;50
16.06.2023;186.7299957;186.9900055;184.2700043;184.9199982;184.192627;101235600;;1.11.2022;0.326217391;0.040956522;0.890782609;0.068217391;23
20.06.2023;184.4100037;186.1000061;184.4100037;185.0099945;184.2822571;49799100;;2.11.2022;0.283481481;0.055814815;0.860148148;0.084;27
21.06.2023;184.8999939;185.4100037;182.5899963;183.9600067;183.2364044;49515700;;3.11.2022;0.347913043;0.042043478;0.86273913;0.095217391;23
22.06.2023;183.7400055;187.0500031;183.6699982;187;186.2644348;51245300;;4.11.2022;0.444375;0.03975;0.882291667;0.078083333;24
23.06.2023;185.5500031;187.5599976;185.0099945;186.6799927;185.9456787;53079300;;5.11.2022;0.242;0.0566;0.8664;0.0772;5
26.06.2023;186.8300018;188.0500031;185.2299957;185.2700043;184.5412445;48088700;;6.11.2022;0.0001;0.0376;0.9066;0.0557;10
27.06.2023;185.8899994;188.3899994;185.6699982;188.0599976;187.3202667;50730800;;7.11.2022;0.116741935;0.064;0.87983871;0.056129032;62
28.06.2023;187.9299927;189.8999939;187.6000061;189.25;188.5055847;51216800;;8.11.2022;0.39872;0.04756;0.87524;0.07724;25
29.06.2023;189.0800018;190.0700073;188.9400024;189.5899963;188.8442535;46347300;;9.11.2022;0.399428571;0.046904762;0.868714286;0.084333333;21
30.06.2023;191.6300049;194.4799957;191.2599945;193.9700012;193.207016;85069600;;10.11.2022;0.482846154;0.043358974;0.878564103;0.078179487;39
3.07.2023;193.7799988;193.8800049;191.7599945;192.4600067;191.7029572;31458200;;11.11.2022;0.7073;0.0343;0.8373;0.12835;20
5.07.2023;191.5700073;192.9799957;190.6199951;191.3300018;190.5774078;46920300;;12.11.2022;0.246;0.0385;0.877;0.084;2
6.07.2023;189.8399963;192.0200043;189.1999969;191.8099976;191.0555115;45094300;;13.11.2022;0.3132;0.0498;0.846;0.1044;5
7.07.2023;191.4100037;192.6699982;190.2400055;190.6799927;189.9299316;46778000;;14.11.2022;0.284653846;0.048538462;0.879192308;0.072192308;26
10.07.2023;189.2599945;189.9900055;187.0399933;188.6100006;187.8680878;59922200;;15.11.2022;0.404769231;0.042423077;0.869;0.0885;26
11.07.2023;189.1600037;189.3000031;186.6000061;188.0800018;187.3401947;46638100;;16.11.2022;0.624090909;0.025318182;0.885;0.089590909;22
12.07.2023;189.6799927;191.6999969;188.4700012;189.7700043;189.0235443;60750200;;17.11.2022;0.613142857;0.036357143;0.875571429;0.088;14
13.07.2023;190.5;191.1900024;189.7799988;190.5399933;189.7904968;41342300;;18.11.2022;0.465307692;0.040461538;0.856346154;0.103230769;26
14.07.2023;190.2299957;191.1799927;189.6300049;190.6900024;189.9399414;41573900;;19.11.2022;0.215222222;0.070777778;0.843777778;0.085444444;9
17.07.2023;191.8999939;194.3200073;191.8099976;193.9900055;193.226944;50520200;;20.11.2022;0.094875;0.029875;0.90425;0.065875;8
18.07.2023;193.3500061;194.3300018;192.4199982;193.7299957;192.9679565;48353800;;21.11.2022;0.539631579;0.047105263;0.852315789;0.100526316;19
19.07.2023;193.1000061;198.2299957;192.6499939;195.1000061;194.3325653;80507300;;22.11.2022;0.696478261;0.02573913;0.85673913;0.117652174;23
20.07.2023;195.0899963;196.4700012;192.5;193.1300049;192.3703308;59581200;;23.11.2022;0.099516129;0.087677419;0.835483871;0.076903226;31
21.07.2023;194.1000061;194.9700012;191.2299957;191.9400024;191.1849976;71917800;;24.11.2022;-0.063166667;0.088555556;0.8425;0.068777778;18
24.07.2023;193.4100037;194.9100037;192.25;192.75;191.9918213;45377800;;25.11.2022;0.386242424;0.038;0.889151515;0.072878788;33
25.07.2023;193.3300018;194.4400024;192.9199982;193.6199951;192.8583984;37283200;;26.11.2022;0.593272727;0.041636364;0.856909091;0.101363636;11
26.07.2023;193.6699982;195.6399994;193.3200073;194.5;193.7349243;47471900;;27.11.2022;0.3654;0.007;0.888;0.105;5
27.07.2023;196.0200043;197.1999969;192.5500031;193.2200012;192.4599609;47460200;;28.11.2022;-0.020730769;0.076846154;0.848961538;0.074288462;52
28.07.2023;194.6699982;196.6300049;194.1399994;195.8300018;195.0597076;48291400;;29.11.2022;0.039809524;0.075333333;0.848253968;0.076444444;64
31.07.2023;196.0599976;196.4900055;195.2599945;196.4499969;195.6772614;38824100;;30.11.2022;0.081358491;0.051377358;0.872981132;0.075660377;53
1.08.2023;196.2400055;196.7299957;195.2799988;195.6100006;194.8405609;35175100;;1.12.2022;-0.071342105;0.085078947;0.840263158;0.074578947;38
2.08.2023;195.0399933;195.1799927;191.8500061;192.5800018;191.8224945;50389300;;2.12.2022;0.368153846;0.061576923;0.837538462;0.100884615;26
3.08.2023;191.5700073;192.3699951;190.6900024;191.1699982;190.4180298;61235200;;3.12.2022;0.048777778;0.062222222;0.854444444;0.083222222;9
4.08.2023;185.5200043;187.3800049;181.9199982;181.9900055;181.2741394;115799700;;4.12.2022;0.407230769;0.043153846;0.847923077;0.108846154;13
7.08.2023;182.1300049;183.1300049;177.3500061;178.8500061;178.1465149;97576100;;5.12.2022;0.151885714;0.047314286;0.884171429;0.068542857;35
8.08.2023;179.6900024;180.2700043;177.5800018;179.8000031;179.0927582;67823000;;6.12.2022;0.364372093;0.042534884;0.865744186;0.09172093;43
9.08.2023;180.8699951;180.9299927;177.0099945;178.1900024;177.4891052;60378500;;7.12.2022;0.23;0.052511628;0.876790698;0.070767442;43
10.08.2023;179.4799957;180.75;177.6000061;177.9700012;177.2699432;54686900;;8.12.2022;0.199136364;0.063090909;0.845136364;0.091863636;22
11.08.2023;177.3200073;178.6199951;176.5500031;177.7899933;177.3297882;51988100;;9.12.2022;0.28228;0.05444;0.85376;0.09184;25
14.08.2023;177.9700012;179.6900024;177.3099976;179.4600067;178.9954987;43675600;;10.12.2022;0.26825;0.0535;0.86625;0.08025;4
15.08.2023;178.8800049;179.4799957;177.0500031;177.4499969;176.9906769;43622600;;11.12.2022;0.0189;0.0415;0.9052;0.0533;10
16.08.2023;177.1300049;178.5399933;176.5;176.5700073;176.1129608;46964900;;12.12.2022;0.2736875;0.0298125;0.8869375;0.083125;16
17.08.2023;177.1399994;177.5099945;173.4799957;174;173.5496216;66062900;;13.12.2022;0.65637037;0.042481481;0.846444444;0.111111111;27
18.08.2023;172.3000031;175.1000061;171.9600067;174.4900055;174.0383606;61114200;;14.12.2022;0.408625;0.048125;0.856125;0.0955;16
